neuron_label,branch_idx,regime,cell_type,subtype,n_synapses,n_unique_partners,mean_syns_per_partner,frac_syn_from_multi,pairwise_compactness_z,clark_evans_z,syn_density,total_length_nm,electrotonic_length
exc_23P_2,53,0,excitatory,23P,3,3,1.0,0.0,1.5069496469445511,,0.00024900153170589486,12048.118657934256,0.0213204864281119
exc_23P_2,54,2,excitatory,23P,12,11,1.0909090909090908,0.16666666666666666,-1.7521277143008265,-0.5894194955724954,0.0001441892062468342,83223.98265690896,0.171138906822959
exc_23P_2,56,2,excitatory,23P,13,13,1.0,0.0,1.2605312122505103,-2.1865936432777535,0.00014090407240528464,92261.35042149734,0.1807439839778929
exc_23P_2,57,2,excitatory,23P,5,4,1.25,0.4,-0.7097841897554643,0.5836715853000536,6.719346921648143e-05,74411.99358067352,0.1590063256575818
exc_23P_2,60,2,excitatory,23P,6,6,1.0,0.0,-1.2590688769983718,-0.6954873395942321,6.320000598996016e-05,94936.69986286314,0.2042139631183104
exc_23P_2,62,1,excitatory,23P,9,6,1.5,0.5555555555555556,-0.5653301283582484,-0.1700566279190389,0.00023921767218788382,37622.63848521741,0.0712794708479207
exc_23P_2,63,2,excitatory,23P,24,17,1.411764705882353,0.4583333333333333,-0.8601499096420426,-0.4793097012447387,0.00024755695569423985,96947.38704753926,0.1861163527586229
exc_23P_2,64,1,excitatory,23P,12,8,1.5,0.5833333333333334,-0.4595764676023764,-1.4505253501172208,0.00025410623610203444,47224.3427948832,0.0870193919695548
exc_23P_2,65,2,excitatory,23P,16,15,1.0666666666666667,0.125,1.1210679177084169,-1.0345305537807672,0.00012895376378910725,124075.47891480406,0.2460259799931059
exc_23P_2,67,2,excitatory,23P,10,10,1.0,0.0,-0.4980912192855931,0.0441015497317378,0.00013082353580384974,76438.84518603365,0.1506236157586641
exc_23P_2,68,2,excitatory,23P,18,10,1.8,0.5555555555555556,-0.8396204241385917,0.9780509678006768,0.00023852380225873143,75464.16680241852,0.1548502281569857
exc_23P_2,70,2,excitatory,23P,8,7,1.1428571428571428,0.25,-1.39379676793352,-0.1959008612475737,9.897489682364706e-05,80828.57630308377,0.1535370119424918
exc_23P_2,74,2,excitatory,23P,16,14,1.1428571428571428,0.25,0.9393630406493436,0.6064393509739482,0.00015234336111900012,105025.90912052876,0.2014997538353529
exc_23P_2,75,2,excitatory,23P,7,7,1.0,0.0,-1.947323547364476,-1.2463550472034073,8.317876847537641e-05,84156.09089081698,0.1557225094431256
exc_23P_2,76,2,excitatory,23P,10,10,1.0,0.0,1.1881403344292658,-0.4813939090632939,0.00013606877241904578,73492.2482375558,0.1316510193673797
exc_23P_2,77,2,excitatory,23P,11,9,1.2222222222222223,0.36363636363636365,-3.0013750611999868,-1.9388423631336051,0.00012409801657627394,88639.61168339147,0.1716463526247799
exc_23P_2,78,1,excitatory,23P,5,5,1.0,0.0,-2.5382102420564205,-1.9997938797920929,0.00018682248379207542,26763.373971436773,0.0419195196964189
exc_23P_2,79,2,excitatory,23P,8,7,1.1428571428571428,0.25,0.2457406892867624,1.6082018389926944,9.714381264164309e-05,82352.13115951559,0.1559144603476454
exc_23P_2,82,2,excitatory,23P,4,3,1.3333333333333333,0.5,-1.8519360962167517,,6.720231879548827e-05,59521.75567293886,0.1225531518962275
exc_23P_2,84,2,excitatory,23P,5,5,1.0,0.0,0.0953946451419401,-0.9933161833076886,3.31199535625277e-05,150966.3952444987,0.3064692604878318
exc_23P_2,85,2,excitatory,23P,3,3,1.0,0.0,-0.6198833934605548,,5.269523739626752e-05,56931.14118530367,0.1235300545301702
exc_23P_2,88,2,excitatory,23P,28,22,1.2727272727272727,0.35714285714285715,0.4267909631929622,-0.4695719838243514,0.00021325220806867883,131299.93003862578,0.2536882193911669
exc_23P_2,89,2,excitatory,23P,23,20,1.15,0.21739130434782608,0.7951007960683527,1.476365841348546,0.00018614517371247263,123559.47533470156,0.2367438774063009
exc_23P_2,90,1,excitatory,23P,4,4,1.0,0.0,-0.72033350895012,,0.00010734740190799065,37262.19665221586,0.0668861655623751
